Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
rolling_252_2023-06-14,76.05765718513788,18.630550061422223,57.42710712371566,74.98781149456144,1.1141322414584962,-58.23124339228058,166,100.0,0.0,252
rolling_252_2023-09-14,64.46201086879897,16.52004475188842,47.94196611691055,60.90392971686456,1.0644548062112225,-38.516762958836146,36,100.0,0.0,252
rolling_252_2023-12-13,129.13885488511224,19.921057896779114,109.21779698833312,122.282593435521,1.7716267048619785,-33.14182095559578,47,100.0,0.0,252
rolling_252_2024-03-15,134.30446883933337,33.496562807810506,100.80790603152288,117.22745177515428,2.1844289146666553,-33.14182095559579,47,75.0,1.0,252
rolling_252_2024-06-14,42.662073521678344,26.13331581405809,16.528757707620258,37.856940222241505,1.1859863643514945,-33.14182095559586,47,50.0,1.0,252
rolling_252_2024-09-16,41.93285757984131,26.842928176384675,15.089929403456637,49.32261304617705,1.4263239812504231,-22.267308072576387,15,25.0,1.0,252
rolling_252_2024-12-13,30.984783600826727,30.280219203761582,0.7045643970651438,29.922033241800182,2.2809083151555347,-8.446366524077465,45,0.0,1.0,252
rolling_252_2025-03-19,12.37748778788852,12.377487787888652,-1.3322676295501878e-13,11.653630055992448,0.9251870613379696,-10.044904845596658,-1,0.0,0.0,252
rolling_252_2025-06-18,19.899474693357956,11.547910156885477,8.351564536472477,18.913124379053436,0.9003894325787627,-18.689404677475007,36,10.317460317460316,1.0,252
rolling_252_2025-09-18,58.84513255785902,19.225934776135855,39.61919778172316,58.621162577122085,1.808998429006726,-18.689404677475018,36,35.317460317460316,1.0,252
rolling_252_2025-12-17,51.46633507039577,12.520434283736282,38.94590078665949,50.74727966271948,1.5028452502362597,-18.68940467747503,36,41.66666666666667,2.0,252
rolling_252_2026-03-20,56.29282666445354,16.105910422561553,40.18691624189199,56.70156147502685,1.628131408327932,-13.62979143321229,34,41.66666666666667,2.0,252
rolling_252_2026-06-22,129.53492312318505,26.415488878382078,103.11943424480296,131.79920426893733,2.616159673623927,-16.246275263047295,-1,47.61904761904761,3.0,252
rolling_756_2013-09-10,126.02959788338559,60.70035309411883,65.32924478926677,31.702767882180495,0.8600946802659931,-43.91141392057016,173,40.476190476190474,4.0,756
rolling_756_2013-12-09,121.66859185923045,57.59980690684996,64.06878495238048,30.170335903725665,0.8453741942625463,-43.911413920570176,173,40.476190476190474,4.0,756
rolling_756_2014-03-12,112.2720999985404,50.91917935187871,61.35292064666169,29.244920955106778,0.8105304066641543,-43.91141392057014,173,40.476190476190474,4.0,756
rolling_756_2014-06-11,128.03980253977127,62.12954909808277,65.91025344168851,31.21668110839464,0.8682777251643853,-43.91141392057014,173,40.476190476190474,4.0,756
rolling_756_2014-09-10,159.31741629842756,77.59903954212373,81.71837675630384,37.93553105457617,1.1382930546909136,-28.963800796262984,55,33.5978835978836,3.0,756
rolling_756_2014-12-09,193.33720013309483,74.41675849787211,118.9204416352227,42.971965574776675,1.6256544474002148,-17.223515876478945,190,29.761904761904763,4.0,756
rolling_756_2015-03-12,87.53312628834892,60.28306529213925,27.25006099620968,22.773275212921362,1.0886420397405714,-17.22351587647889,190,21.957671957671955,5.0,756
rolling_756_2015-06-11,92.38810455272323,69.97541342057967,22.41269113214357,23.976797117475513,1.1968129786257335,-14.347206938525192,-1,18.51851851851852,4.0,756
rolling_756_2015-09-10,63.3990172671401,44.36347599072703,19.03554127641307,17.583309974391415,0.9060130710284557,-18.25831939215796,-1,18.51851851851852,4.0,756
rolling_756_2015-12-09,68.96293597464651,52.78769999951736,16.175235975129155,18.787047640029186,0.9096181137369437,-18.25831939215795,-1,21.03174603174603,4.0,756
rolling_756_2016-03-11,14.978942355982184,37.83599260785915,-22.857050251876963,4.881393119223287,0.3076275117381135,-45.397397237446505,-1,21.03174603174603,4.0,756
rolling_756_2016-06-10,33.859984926575805,36.396412456815284,-2.5364275302394823,10.513446640862046,0.4944224897713372,-45.3973972374464,-1,20.8994708994709,4.0,756
rolling_756_2016-09-09,31.214793084403492,33.701098560507134,-2.486305476103645,9.380900301327856,0.46967319100994187,-45.39739723744648,-1,20.8994708994709,4.0,756
rolling_756_2016-12-08,28.968084550259032,31.411818578430918,-2.4437340281718845,8.989424787555356,0.4485799751862726,-45.39739723744648,-1,20.8994708994709,4.0,756
rolling_756_2017-03-13,32.001204329957275,34.50241101148392,-2.5012066815266465,10.101863643621932,0.4781742301245137,-45.397397237446505,-1,20.8994708994709,4.0,756
